目	メ
手	テ
歯	ハ
胃	イ
日	ヒ	1
火	ヒ
木	キ
気	キ
この	コノ
これ	コレ
その	ソノ	1
それ	ソレ
あの	アノ
あれ	アレ
ここ	ココ	1
そこ	ソコ
髪	カミ
耳	ミミ
胸	ムネ
腹	ハラ
指	ユビ
足	アシ
口	クチ
鼻	ハナ
首	クビ
肩	カタ
のど	ノド
どこ	ドコ
どれ	ドレ
どう	ドウ
なに	ナニ
なぜ	ナゼ
だれ	ダレ	0
少し	スコシ
一人	ヒトリ
一つ	ヒトツ
五つ	イツツ
昨日	キノウ	0
匂い	ニオイ
あなた	アナタ	1
明日	アシタ	0
言葉	コトバ
二人	フタリ	0
二つ	フタツ	0
三つ	ミッツ	0
四つ	ヨッツ	0
皆	ミンナ	0
男	オトコ
女	オンナ
ご飯	ゴハン
午前	ゴゼン
家族	カゾク
眼鏡	メガネ
景色	ケシキ
電気	デンキ
天気	テンキ
元気	ゲンキ
どなた	ドナタ
どんな	ドンナ
どちら	ドチラ
学校	ガッコウ
銀行	ギンコウ
最低	サイテイ
最悪	サイアク
最高	サイコウ
平板	ヘイバン
勉強	ベンキョウ
心配	シンパイ
音楽	オンガク	0
挨拶	アイサツ
迷惑	メイワク
毎日	マイニチ
毎朝	マイアサ	0
毎晩	マイバン	0
先生	センセイ
コーヒー	コーヒー
半分	ハンブン	0
案内	アンナイ
一昨日	オトトイ	0
土曜日	ドヨウビ
火曜日	カヨウビ
一番	イチバン	0
自転車	ジテンシャ	0
自動車	ジドウシャ	0
アパート	アパート
失礼	シツレイ
飲み物	ノミモノ
妹	イモウト
弟	オトウト
